name,brand,barcode,proteins,carbohydrates,fats,energy,saturated_fats,trans_fats,monounsaturated_fats,polyunsaturated_fats,omega3,omega6,sugars,salt,dietary_fiber,cholesterol,caffeine_milli,vitamin_a,vitamin_b1,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_b7_micro,vitamin_b9,vitamin_b12,vitamin_c,vitamin_d,vitamin_e,vitamin_k_micro,manganese,magnesium,potassium,calcium,copper,zinc,sodium,iron,phosphorus,selenium,iodine,package_weight,serving_weight
Arroz integral cozido,,,2.6,25.8,1,124,0.3,,0.4,0.3,0.01001,0.31,,,2.7,,,,8e-05,1e-08,1e-08,,8e-05,,,,,,,,0.00063,0.059,0.075,0.005,2e-05,0.0007,0.001,0.0003,0.106,,,,
Arroz integral cru,,,7.3,77.5,1.9,360,0.3,,0.5,0.4,0.02,0.38,,,4.8,,,,0.00026,1e-08,0.00418,,0.00018,,,,,,,,0.00299,0.11,0.173,0.008,7e-05,0.0014,0.002,0.0009,0.251,,,,
Arroz tipo 1 cozido,,,2.5,28.1,0.2,128,0.2,,1e-05,1e-05,,0.06,,,1.6,,,,1e-08,1e-08,1e-08,,1e-08,,,,,,,,0.0003,0.002,0.015,0.004,2e-05,0.0005,0.001,0.0001,0.018,,,,
Arroz tipo 1 cru,,,7.2,78.8,0.3,358,0.1,1e-05,0.1,0.1,1e-05,0.08,,,1.6,,,,0.00016,1e-08,0.00112,,7e-05,,,,,,,,0.00103,0.03,0.062,0.004,0.00011,0.0012,0.001,0.0007,0.104,,,,
Arroz tipo 2 cozido,,,2.6,28.2,0.4,130,0.1,,0.1,0.1,1e-05,0.09,,,1.1,,,,1e-08,1e-08,1e-08,,1e-08,,,,,,,,0.00037,0.006,0.02,0.003,4e-05,0.0005,0.002,0.0001,0.022,,,,
Arroz tipo 2 cru,,,7.2,78.9,0.3,358,0.1,,0.1,0.1,1e-05,0.09,,,1.7,,,,0.00016,1e-08,0.00092,,5e-05,,,,,,,,0.00083,0.029,0.057,0.005,5e-05,0.0013,0.001,0.0006,0.082,,,,
Aveia flocos crua,,,13.9,66.6,8.5,394,1.5,,3.2,3,0.06,2.95,,,9.1,,,,0.00055,3e-05,0.00447,,1e-08,,,,0.0014,,,,0.00189,0.119,0.336,0.048,0.00044,0.0026,0.005,0.0044,0.153,,,,
Biscoito doce maisena,,,8.1,75.2,12,443,3.9,1.58,3.7,2.2,0.1,2.13,,,2.1,,,,0.00101,0.00042,0.00391,,0.00023,,,,0.0062,,,,0.00078,0.037,0.142,0.054,0.00017,0.001,0.352,0.0018,0.166,,,,
Biscoito doce recheado com chocolate,,,6.4,70.5,19.6,472,6.2,4.21,6.6,1.7,0.06,1.68,,,3,1e-08,,1e-11,0.00032,0.00039,0.00252,,0.00046,,,,0.0035,,,,0.00059,0.048,0.232,0.027,0.00027,0.001,0.239,0.0023,0.139,,,,
Biscoito doce recheado com morango,,,5.7,71,19.6,471,6.1,4.53,6.5,1.7,0.06,1.61,,,1.5,1e-08,,1e-11,0.0009,0.00042,0.0015,,0.00021,,,,1e-08,,,,0.00066,0.027,0.113,0.036,0.00013,0.0007,0.23,0.0015,0.138,,,,
Biscoito doce wafer recheado de chocolate,,,5.6,67.5,24.7,502,6.5,7.05,8.1,1.9,0.09,1.84,,,1.8,1e-08,,1e-11,0.00037,3e-05,0.00112,,0.0003,,,,1e-08,,,,0.00044,0.048,0.24,0.023,0.00026,0.0009,0.137,0.0024,0.124,,,,
Biscoito doce wafer recheado de morango,,,4.5,67.4,26.4,513,6.7,7.8,8.9,1.8,0.08,1.77,,,0.8,0.001,,1e-11,0.00036,1e-08,0.00037,,0.00094,,,,,,,,0.00028,0.019,0.075,0.014,8e-05,0.0005,0.12,0.0011,0.073,,,,
Biscoito salgado cream cracker,,,10.1,68.7,14.4,432,4.4,1.8,4.6,2.9,0.01,2.79,,,2.5,,,,0.00071,0.00013,0.00714,,0.00017,,,,,,,,0.00069,0.04,0.181,0.02,0.00018,0.0011,0.854,0.0022,0.148,,,,
Bolo mistura para,,,6.2,84.7,6.1,419,2.1,1.08,1.9,0.8,0.03,0.78,,,1.7,1e-08,,,0.00018,1e-08,0.00152,,0.0015,,,,1e-08,,,,0.00046,0.028,0.075,0.059,0.00015,0.0006,0.463,0.0012,0.333,,,,
Bolo pronto aipim,,,4.4,47.9,12.7,324,5,1.99,3.9,1.1,0.06,1.04,,,0.7,0.073,,1e-11,0.00013,7e-05,1e-08,,1e-08,,,,1e-08,,,,0.00011,0.01,0.135,0.085,5e-05,0.0004,0.111,0.0005,0.122,,,,
Bolo pronto chocolate,,,6.2,54.7,18.5,410,5.5,2.91,6.2,3,0.04,2.85,,,1.4,0.077,,1e-11,0.00013,9e-05,1e-08,,5e-05,,,,1e-08,,,,0.00038,0.028,0.212,0.075,5e-05,0.0007,0.283,0.0021,0.197,,,,
